"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-27","1.12",",,W,2400","59",",,W","44",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-28","0.02",",,W,2400","50",",,W","42",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-29","0.79",",,W,2400","49",",,W","45",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-30","0.00","T,,W,2400","57",",,W","39",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-03-31","0.14",",,W,2400","56",",,W","39",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-01","0.28",",,W,2400","39",",,W","27",",,W","    1",",,W",,,"    1",",,W","    1",",,W",,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-02","0.45",",,W,2400","42",",,W","25",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-03","0.19",",,W,2400","73",",,W","36",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-04","0.00",",,W,2400","42",",,W","29",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-05","0.00",",,W,2400","64",",,W","28",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-06","0.00","T,,W,2400","52",",,W","28",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-07","0.00",",,W,2400","44",",,W","24",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-08","0.01",",,W,2400","43",",,W","29",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-09","0.00",",,W,2400","48",",,W","34",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-10","0.00","T,,W,2400","52",",,W","36",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-11","0.00",",,W,2400","77",",,W","45",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-12","0.00",",,W,2400","85",",,W","60",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-13","0.97",",,W,2400","79",",,W","61",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-14","0.28",",,W,2400","64",",,W","41",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-15","0.01",",,W,2400","43",",,W","32",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-16","0.00","T,,W,2400","48",",,W","30",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-17","0.00",",,W,2400","60",",,W","31",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-18","0.00",",,W,2400","69",",,W","39",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-19","0.00","T,,W,2400","56",",,W","35",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-20","0.00",",,W,2400","62",",,W","37",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-21","0.00",",,W,2400","67",",,W","40",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-22","0.02",",,W,2400","61",",,W","51",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-23","0.07",",,W,2400","60",",,W","49",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-24","0.00","T,,W,2400","72",",,W","50",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-25","0.00","T,,W,2400","66",",,W","47",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-26","0.00","T,,W,2400","72",",,W","50",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-27","0.00",",,W,2400","72",",,W","50",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-28","0.00",",,W,2400","63",",,W","44",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-29","0.00",",,W,2400","65",",,W","40",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-04-30","0.00",",,W,2400","80",",,W","43",",,W",,,,,,,,,,,,
